pais,categoria,laboratorio,producto,mkt_am1,mkt_am2,mkt_am3,mkt_am4,mkt_am5,ms_am1,ms_am2,ms_am3,ms_am4,ms_am5,es_genomma,er_aplicado,mkt_usd_am1,mkt_usd_am2,mkt_usd_am3,mkt_usd_am4,mkt_usd_am5,pais_nombre
BRA,BEBIDAS,BEVROCK BEVERAGE,AFTER DRINK,22283.84,62681.909999999996,41526.6,1077.3600000000001,,0.005810931000795002,0.01513766190301157,0.01376781804542938,0.0004548819457819949,,False,5.242934838709678,4250.260719525594,11955.500483661637,7920.4875279777425,205.48796297173624,,Brasil
BRA,BEBIDAS,BIOFHITUS,HIDRADOSE BFS,3011453.47,4974183.26,1380399.4000000001,731661.32,393188.32,0.7852932136595256,1.2012637208007844,0.45766057826116013,0.3089213678761257,0.21171885628325002,False,5.242934838709678,574383.1580293184,948740.240537527,263287.5369360352,139551.8621742144,74993.93604837674,Brasil
BRA,BEBIDAS,BIOFHITUS,MASTERFORCE BFS,289756.13,138904.65,,,,0.07555936851491424,0.033545430068358736,,,,False,5.242934838709678,55266.01777704164,26493.6823121352,,,,Brasil
BRA,BEBIDAS,BRASTERAPICA,SINDRAT,127.97999999999999,301.40000000000003,58.370000000000005,133.91,49800.79,3.3373195530112596e-05,7.278800689972096e-05,1.9352115013309857e-05,5.653935672353432e-05,0.026816072005400142,False,5.242934838709678,24.409992482663917,57.48688650003834,11.133077521590039,25.5410383915731,9498.647519383689,Brasil
BRA,BEBIDAS,CATARINENSE PHARMA,POSDRINK VIBE,530245.45,434857.42,13690.14,,,0.13827148837164044,0.10501793260568962,0.004538858383215928,,,False,5.242934838709678,101135.23557170453,82941.6030100846,2611.159669375032,,,Brasil
BRA,BEBIDAS,CATARINENSE PHARMA,REHIDRATANTE CAT,33279.71,58171.64,54790.35,39655.83,32468.77,0.008678311212810154,0.014048433091201335,0.018165310173368195,0.016743447976535243,0.017483354666598182,False,5.242934838709678,6347.53454387588,11095.243749837722,10450.320609646235,7563.670199982797,6192.861631671697,Brasil
BRA,BEBIDAS,CAZI,REIDRAMAX,17.91,16.82,20.71,14.620000000000001,2.21,4.670369838602256e-06,4.0620248044237105e-06,6.86623782637737e-06,6.172842919110386e-06,1.1900116269628317e-06,False,5.242934838709678,3.416025670921322,3.208126844494508,3.9500777021094686,2.7885145342752504,0.42151963890207267,Brasil
BRA,BEBIDAS,CIFARMA,ORALDRAT,1138114.27,1596708.82,2499129.52,3134706.82,2135772.2600000002,0.2967847325232174,0.38560468681819937,0.82856676210721,1.3235330230727793,1.1500424533686355,False,5.242934838709678,217075.79914918373,304544.85304893873,476666.1415565205,597891.6230001197,407361.9691458207,Brasil
BRA,BEBIDAS,CIMED,LAVITAN ISOTONICO,744.72,,,,,0.00019419976695722344,,,,,False,5.242934838709678,142.04258166658443,,,,,Brasil
BRA,BEBIDAS,CIMED,RESSALIV AFTER,32184.000000000004,21435.74,332765.85,,,0.008392584192382747,0.005176724588655025,0.11032590374681882,,,False,5.242934838709678,6138.54663277118,4088.5001739360705,63469.38503662501,,,Brasil
