pais,categoria,sub_categoria,laboratorio,producto,mkt_am1,mkt_am2,mkt_am3,mkt_am4,mkt_am5,ms_am1,ms_am2,ms_am3,ms_am4,ms_am5,es_genomma,er_aplicado,mkt_usd_am1,mkt_usd_am2,mkt_usd_am3,mkt_usd_am4,mkt_usd_am5,pais_nombre
COL,4.VMS,21.VITAMINA C,NYF COLOMBIA,NUTRAGUM,107380525.23,82265525.0,160849149.0,186439083.32,145782665.04,0.000990393849064772,0.000907116422640583,0.00182673849421061,0.00203839516440214,0.00136297962021461,False,3721.9522580645153,28850.591782130996,22102.78888498683,43216.33858991103,50091.74497497499,39168.33288877534,Colombia
COL,4.VMS,21.VITAMINA C,OPHALAC,VITAMINA C OPH,766530.0,11982152.0,1698530.0,3059957.0,17855456.0,7.06987226498985e-06,0.000132123472837203,1.92899381430458e-05,3.34554399271141e-05,0.000166937698874974,False,3721.9522580645153,205.9483697941386,3219.319101699317,456.3545908789457,822.1376277382008,4797.336118783311,Colombia
COL,4.VMS,21.VITAMINA C,PENTACOOP,VITAMINA C PTP,1468915492.572,1239236950.0,1324293489.7,1366598993.8,1482030383.0,0.0135481258405394,0.0136646813946429,0.0150397929383356,0.0149414421645567,0.0138560864421954,False,3721.9522580645153,394662.6368968697,332953.47819545283,355806.14631221985,367172.6285147615,398186.2958582611,Colombia
COL,4.VMS,21.VITAMINA C,PHARMADES,KEOPS VIT C,127513108.45,48175364.98,239286968.4,589787953.0,661025028.0,0.00117608102599154,0.000531214804014951,0.00271754447603101,0.00644833095083594,0.00618018364096022,False,3721.9522580645153,34259.73779586018,12943.574135217976,64290.71406854469,158461.9877168174,177601.69453214464,Colombia
COL,4.VMS,21.VITAMINA C,PHARMARIS,CRAMBERRY,30351801.43,27686947.0,24336135.0,9511600.0,,0.000279941240554755,0.000305295375146265,0.00027638165872302,0.000103993213764356,,False,3721.9522580645153,8154.806758801227,7438.823789319031,6538.540344591966,2555.540571320012,,Colombia
COL,4.VMS,21.VITAMINA C,PHARMARIS,VITAMINA C+B2+ZINC.PHC,11306879041.96,9642784719.0,6088131063.0,4917932054.0,4755607275.0,0.10428579513176,0.106327995580075,0.0691419472202583,0.0537692459071241,0.0444620476363966,False,3721.9522580645153,3037889.3274251153,2590786.783496903,1635735.9366468452,1321331.3102939737,1277718.5050388058,Colombia
COL,4.VMS,21.VITAMINA C,PROCAPS,GUMIVIT C,1863548011.266,2953514568.269,2915540237.997,3194363461.894,2501326646.689,0.0171879070608149,0.0325674888646857,0.0331113320603834,0.0349249466266235,0.0233858891384749,False,3721.9522580645153,500691.0035528182,793539.0793553281,783336.2804909098,858249.4455625094,672046.9455967005,Colombia
COL,4.VMS,21.VITAMINA C,PROCAPS,LEMOVIT C,2438543915.493,2655626694.001,2307285503.74,2527080441.88,2504146064.85,0.022491218863063,0.0292827716899762,0.0262034786818548,0.0276293385542023,0.0234122489906099,False,3721.9522580645153,655178.71977248,713503.6964128001,619912.7081065332,678966.3774983855,672804.4561625308,Colombia
COL,4.VMS,21.VITAMINA C,PROCAPS,VITAMINA C P.C,1003349047.576,1317123626.751,1191651280.38,992407898.94,1176158530.25,0.00925410564956563,0.0145235136161078,0.013533396222976,0.0108502971924706,0.0109963698800023,False,3721.9522580645153,269576.0122666808,353879.77475990757,320168.34117041604,266636.385996007,316005.8078933082,Colombia
COL,4.VMS,21.VITAMINA C,PROCAPS CONSUMO,GUMMY P.C,21485.16,176298.0,155850322.0,325376865.0,125379112.0,1.98162285615526e-07,1.94398335242727e-06,0.00176996760195802,0.00355744416038533,0.00117221875735168,False,3721.9522580645153,5.772551207084178,47.36707721546065,41873.272732693535,87421.02059342428,33686.38373271329,Colombia
