2026-05-03 17:43:55,383 | INFO | root | Log activo: logs\pipeline_20260503_174355.log
2026-05-03 17:43:55,968 | INFO | run_pipeline | ━━━ PASO 1/3: INGEST ━━━
2026-05-03 17:44:10,485 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '1.C&C - COUGH & COLD', 'sub_categoria': '07.ANTIHISTAMINICOS', 'laboratorio': 'SAVANT', 'producto': 'DEXITIS'}
2026-05-03 17:44:10,485 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'B.BRAUN', 'producto': 'PARACETAMOL BBM'}
2026-05-03 17:44:10,485 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'BAGO', 'producto': 'AFEBRIL'}
2026-05-03 17:44:10,485 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'BAGO', 'producto': 'CEFALEX MAX'}
2026-05-03 17:44:10,485 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'BAYER', 'producto': 'ASPIRINA PREVENT'}
2026-05-03 17:44:10,485 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'BAYER', 'producto': 'BAYASPIRINA PROMO'}
2026-05-03 17:44:10,485 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'BETA', 'producto': 'TONAL'}
2026-05-03 17:44:10,486 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'CELTYC', 'producto': 'KETOROLAC CELTYC'}
2026-05-03 17:44:10,486 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'DENVER FARMA', 'producto': 'CLONIXINATO DE LISINA DENVER F'}
2026-05-03 17:44:10,486 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'DUNCAN', 'producto': 'ALGINON'}
2026-05-03 17:44:10,486 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'EXCELENTIA', 'producto': 'NODOLERTE GRIP'}
2026-05-03 17:44:10,486 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'FECOFAR', 'producto': 'IBUPROFENO FEC'}
2026-05-03 17:44:10,486 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'FINADIET', 'producto': 'KERAMIX'}
2026-05-03 17:44:10,487 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'GENOMMA LAB', 'producto': 'MATRIX MIGRA'}
2026-05-03 17:44:10,487 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'GENOMMA LAB', 'producto': 'TAFIROL FLEX'}
2026-05-03 17:44:10,487 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'HLB PHARMA', 'producto': 'DIPIRONA HLB'}
2026-05-03 17:44:10,487 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'HLB PHARMA', 'producto': 'IBUPROFENO HLB'}
2026-05-03 17:44:10,487 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'HLB PHARMA', 'producto': 'ROLFITA'}
2026-05-03 17:44:10,488 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'HLB PHARMA', 'producto': 'SIEND'}
